Sample in Buffer,Sample in Window,TRIGGER,capture_addr[16:0],capture_data[11:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
723,723,0,0aa00,122
724,724,0,0aa00,122
725,725,0,0aa00,122
726,726,0,0aa00,122
727,727,0,0aa00,122
728,728,0,0aa00,122
729,729,0,0aa00,122
730,730,0,0aa00,122
731,731,0,0aa00,122
732,732,0,0aa00,122
733,733,0,0aa00,122
734,734,0,0aa00,122
735,735,0,0aa00,122
736,736,0,0aa00,122
737,737,0,0aa00,122
738,738,0,0aa00,122
739,739,0,0aa00,122
740,740,0,0aa00,122
741,741,0,0aa00,122
742,742,0,0aa00,122
743,743,0,0aa00,122
744,744,0,0aa00,122
745,745,0,0aa00,122
746,746,0,0aa00,122
747,747,0,0aa00,122
748,748,0,0aa00,122
749,749,0,0aa00,122
750,750,0,0aa00,122
751,751,0,0aa00,122
752,752,0,0aa00,122
753,753,0,0aa00,122
754,754,0,0aa00,122
755,755,0,0aa00,122
756,756,0,0aa00,122
757,757,0,0aa00,122
758,758,0,0aa00,122
759,759,0,0aa00,122
760,760,0,0aa00,122
761,761,0,0aa00,122
762,762,0,0aa00,122
763,763,0,0aa00,122
764,764,0,0aa00,122
765,765,0,0aa00,122
766,766,0,0aa00,122
767,767,0,0aa00,122
768,768,0,0aa00,122
769,769,0,0aa00,122
770,770,0,0aa00,122
771,771,0,0aa00,122
772,772,0,0aa00,122
773,773,0,0aa00,122
774,774,0,0aa00,122
775,775,0,0aa00,122
776,776,0,0aa00,122
777,777,0,0aa00,122
778,778,0,0aa00,122
779,779,0,0aa00,122
780,780,0,0aa00,122
781,781,0,0aa00,122
782,782,0,0aa00,122
783,783,0,0aa00,122
784,784,0,0aa00,122
785,785,0,0aa00,122
786,786,0,0aa00,122
787,787,0,0aa00,122
788,788,0,0aa00,122
789,789,0,0aa00,122
790,790,0,0aa00,122
791,791,0,0aa00,122
792,792,0,0aa00,122
793,793,0,0aa00,122
794,794,0,0aa00,122
795,795,0,0aa00,122
796,796,0,0aa00,122
797,797,0,0aa00,122
798,798,0,0aa00,122
799,799,0,0aa00,122
800,800,0,0aa00,122
801,801,0,0aa00,122
802,802,0,0aa00,122
803,803,0,0aa00,122
804,804,0,0aa00,122
805,805,0,0aa00,122
806,806,0,0aa00,122
807,807,0,0aa00,122
808,808,0,0aa00,122
809,809,0,0aa00,122
810,810,0,0aa00,122
811,811,0,0aa00,122
812,812,0,0aa00,122
813,813,0,0aa00,122
814,814,0,0aa00,122
815,815,0,0aa00,122
816,816,0,0aa00,122
817,817,0,0aa00,122
818,818,0,0aa00,122
819,819,0,0aa00,122
820,820,0,0aa00,122
821,821,0,0aa00,122
822,822,0,0aa00,122
823,823,0,0aa00,122
824,824,0,0aa00,122
825,825,0,0aa00,122
826,826,0,0aa00,122
827,827,0,0aa00,122
828,828,0,0aa00,122
829,829,0,0aa00,122
830,830,0,0aa00,122
831,831,0,0aa00,122
832,832,0,0aa00,122
833,833,0,0aa00,122
834,834,0,0aa00,122
835,835,0,0aa00,122
836,836,0,0aa00,122
837,837,0,0aa00,122
838,838,0,0aa00,122
839,839,0,0aa00,122
840,840,0,0aa00,122
841,841,0,0aa00,122
842,842,0,0aa00,122
843,843,0,0aa00,122
844,844,0,0aa00,122
845,845,0,0aa00,122
846,846,0,0aa00,122
847,847,0,0aa00,122
848,848,0,0aa00,122
849,849,0,0aa00,122
850,850,0,0aa00,122
851,851,0,0aa00,122
852,852,0,0aa00,122
853,853,0,0aa00,122
854,854,0,0aa00,122
855,855,0,0aa00,122
856,856,0,0aa00,122
857,857,0,0aa00,122
858,858,0,0aa00,122
859,859,0,0aa00,122
860,860,0,0aa00,122
861,861,0,0aa00,122
862,862,0,0aa00,122
863,863,0,0aa00,122
864,864,0,0aa00,122
865,865,0,0aa00,122
866,866,0,0aa00,122
867,867,0,0aa00,122
868,868,0,0aa00,122
